FILE,WORD,DIFFICULTY,WRONG LETTERS,WRONG SPELLINGS
actual.ogg,actual,1,kyo,aktual actyoul
forward.ogg,forward,1,oou,forwood fourward
heard.ogg,heard,1,reb,herd herrd
heart.ogg,heart,1,rra,hart harrt
history.ogg,history,1,see,hisstory historee
interest.ogg,interest,1,snr,innterest intressed
material.ogg,material,1,uet,mateerial materiul
occasion.ogg,occasion,1,kye,ocasion okayseun
popular.ogg,popular,1,yeo,populer popyoular
possible.ogg,possible,1,eeu,posible poseebul
potatoes.ogg,potatoes,1,yed,potaytoes potatos
recent.ogg,recent,1,ses,reecent resent
regular.ogg,regular,1,yor,regyoular regulr
strange.ogg,strange,1,jya,straynge stranje
surprise.ogg,surprise,1,zsy,suprise surprize
woman.ogg,woman,1,uem,wuman womman
women.ogg,women,1,iee,wemen weemen
address.ogg,address,1,zwa,addres adress
and.ogg,and,0,nmb,anb annd
appear.ogg,appear,1,eyu,appeer appeur
black.ogg,black,0,sdr,blak blac
blue.ogg,blue,0,oow,blu bloo
brown.ogg,brown,0,auw,broun brawn
build.ogg,build,1,lwb,biuld billd
busy.ogg,busy,1,zzi,bussy bizze
caught.ogg,caught,1,orw,cort cawght
complete.ogg,complete,1,euy,cumplete compleet
consider.ogg,consider,1,uer,cunsider considrr
disappear.ogg,disappear,1,zse,disappeer dissapear
early.ogg,early,1,uee,urlee erly
earth.ogg,earth,1,ufe,errf erth
eight.ogg,eight,1,aey,ate aite
experiment.ogg,experiment,1,eux,xperiment experemunt
famous.ogg,famous,1,iye,faymus faimous
fruit.ogg,fruit,1,woo,froot frut
green.ogg,green,0,ein,grene greene
grey.ogg,grey,0,aej,gray grae
orange.ogg,orange,0,ihj,orinje oringe
pink.ogg,pink,0,cey,pinc pinck
pottery.ogg,pottery,1,ieu,potery potteree
purple.ogg,purple,0,euw,perple purpel
red.ogg,red,0,eab,read reed
white.ogg,white,0,yte,whit whyte
yellow.ogg,yellow,0,jeu,yelow yellou
accident.ogg,accident,2,xeu,axident aceedent
actually.ogg,actually,2,kee,aktually actualy
although.ogg,although,2,lwo,allthough althow
answer.ogg,answer,2,inu,annswer anser
believe.ogg,believe,2,efi,beelieve beleive
circle.ogg,circle,2,sue,sircle circul
different.ogg,different,2,uie,diferent diffrent
difficult.ogg,difficult,2,eky,diffecult diffykult
enough.ogg,enough,2,ffe,enuff enugh
favourite.ogg,favourite,2,eyu,favorite faverite
February.ogg,February,2,rei,febuary februarry
forwards.ogg,forwards,2,oou,fourwards forwoods
group.ogg,group,2,ooi,grup groop
height.ogg,height,2,eit,hight heite
imagine.ogg,imagine,2,ejn,emagine imagin
important.ogg,important,2,nue,inportant importunt
increase.ogg,increase,2,enc,increese inncrease
learn.ogg,learn,2,reu,lern lurn
length.ogg,length,2,fne,lenf lenth
minute.ogg,minute,2,iny,minit minite
occasionally.ogg,occasionally,2,kyh,ocasionally occasionaly
often.ogg,often,2,fur,offen offun
possess.ogg,possess,2,zeu,pozess posess
probably.ogg,probably,2,eeu,probubly probablee
quarter.ogg,quarter,2,owe,qwarter quater
question.ogg,question,2,sjw,qwestion quesjun
remember.ogg,remember,2,mer,remmember remembr
sentence.ogg,sentence,2,cus,centence sentense
special.ogg,special,2,uhs,speshul speciul
straight.ogg,straight,2,yie,strayt striaght
though.ogg,though,2,rwh,through thow
thought.ogg,thought,2,awf,fought thawt
weight.ogg,weight,2,ayu,wait wayght
accidentally.ogg,accidentally,3,xus,axedentally acidentally
arrive.ogg,arrive,3,fia,arive arriv
bicycle.ogg,bicycle,3,uis,buycycle bisicle
breath.ogg,breath,3,ffe,breathe breaff
breathe.ogg,breathe,3,eev,breath breeve
business.ogg,business,3,yee,busyness buseness
calendar.ogg,calendar,3,euk,calendur calender
centre.ogg,centre,3,seu,center sentre
century.ogg,century,3,ees,sentury centuree
certain.ogg,certain,3,sau,sertain certin
continue.ogg,continue,3,ouk,continyou kontinue
decide.ogg,decide,3,ses,deside decid
describe.ogg,describe,3,yzs,dezcribe descrybe
eighth.ogg,eighth,3,aty,ayth ateth
experience.ogg,experience,3,sce,xperience experince
extreme.ogg,extreme,3,esc,xtreme extreeme
grammar.ogg,grammar,3,eur,gramar grammer
guard.ogg,guard,3,reb,gard guarrd
guide.ogg,guide,3,jye,gide guid
island.ogg,island,3,uey,iland islund
knowledge.ogg,knowledge,3,eil,noledge knowlidge
library.ogg,library,3,eir,liebrary liberary
medicine.ogg,medicine,3,ees,medcin medicin
mention.ogg,mention,3,ush,menshun mentiun
natural.ogg,natural,3,eya,natrul nateral
naughty.ogg,naughty,3,ore,norty nauty
notice.ogg,notice,3,ssd,notiss notise
opposite.ogg,opposite,3,syo,oposite opposit
ordinary.ogg,ordinary,3,eur,ordinury ordinery
particular.ogg,particular,3,uye,partycular particuler
peculiar.ogg,peculiar,3,eke,peckuliar peculear
perhaps.ogg,perhaps,3,zru,perrhaps purhaps
position.ogg,position,3,ush,pusition posishun
possession.ogg,possession,3,zsh,posession possesion
pressure.ogg,pressure,3,arc,presure pressuar
promise.ogg,promise,3,szi,promiss promisse
purpose.ogg,purpose,3,use,perpose purpuss
reign.ogg,reign,3,ayi,rain rayn
separate.ogg,separate,3,eai,seperate separite
strength.ogg,strength,3,ffn,strenff strenth
suppose.ogg,suppose,3,rso,supose surppose
therefore.ogg,therefore,3,ifr,theirfore therefor
through.ogg,through,3,fwe,threw frew
various.ogg,various,3,yre,varyus varius
after.ogg,after,0,fuh,affter arfter
again.ogg,again,0,yej,agayn aygain
any.ogg,any,0,eey,nee ny
ask.ogg,ask,0,csr,arsk assk
bath.ogg,bath,0,rff,baff barth
beautiful.ogg,beautiful,0,lye,beeutiful beautyfull
behind.ogg,behind,0,ehg,beehind behighnd
both.ogg,both,0,wff,boff bowth
break.ogg,break,0,ycw,brake braek
child.ogg,child,0,ely,chilld chield
children.ogg,children,0,uly,chilldren childrun
class.ogg,class,0,akq,clas klass
climb.ogg,climb,0,eky,clim climbe
clothes.ogg,clothes,0,vou,cloves cloths
cold.ogg,cold,0,wle,cowld colld
come.ogg,come,0,uak,cume com
could.ogg,could,0,lkw,cud coud
door.ogg,door,0,ruw,dor dorr
even.ogg,even,0,eui,evun eeven
every.ogg,every,0,eer,evry everee
everybody.ogg,everybody,0,eei,evrybody everybodee
eye.ogg,eye,0,eiu,ie eyee
fast.ogg,fast,0,edr,farst fased
father.ogg,father,0,rau,fater farther
find.ogg,find,0,edn,fined fiend
floor.ogg,floor,0,ure,flor flour
friend.ogg,friend,0,yun,freind frend
full.ogg,full,0,phr,ful phull
gold.ogg,gold,0,ulw,guld golld
grass.ogg,grass,0,ezw,gras grasse
great.ogg,great,0,eyj,grate greate
half.ogg,half,0,rfa,haff harf
here.ogg,here,0,uae,hear heur
hold.ogg,hold,0,leu,holld holed
hour.ogg,hour,0,wer,our howr
house.ogg,house,0,wsa,howse hous
improve.ogg,improve,0,onu,inprove improove
kind.ogg,kind,0,eyu,kynd kiend
last.ogg,last,0,sra,larst lasst
love.ogg,love,0,uev,luv lov
many.ogg,many,0,neu,meny manny
mind.ogg,mind,0,euy,mined miend
Miss.ogg,Miss,0,rzu,Mis Mrs
money.ogg,money,0,une,muny mony
most.ogg,most,0,ewd,mowst moest
move.ogg,move,0,oue,moove mov
Mr.ogg,Mr,0,ide,Mrr Midr
Mrs.ogg,Mrs,0,ssi,Miss Misses
old.ogg,old,0,ulw,ould olld
once.ogg,once,0,uws,wonce onse
one.ogg,one,0,weu,won on
only.ogg,only,0,eew,ownly onlee
our.ogg,our,0,weh,hour ower
parents.ogg,parents,0,cei,pairents parence
pass.ogg,pass,0,rzc,pars pas
past.ogg,past,0,sed,passt pased
path.ogg,path,0,eff,paff pathe
people.ogg,people,0,ule,peeple peopull
plant.ogg,plant,0,dnu,pland plannt
poor.ogg,poor,0,uwe,por pour
pretty.ogg,pretty,0,iee,pritty prety
prove.ogg,prove,0,oew,proove prov
pull.ogg,pull,0,ooe,pul pool
push.ogg,push,0,rsw,pursh psh
put.ogg,put,0,tol,putt pout
said.ogg,said,0,yer,sed sayd
says.ogg,says,0,ize,sayz sais
school.ogg,school,0,kue,scool skhool
should.ogg,should,0,wlo,shud shoud
some.ogg,some,0,muo,summ sume
steak.ogg,steak,0,yec,stake stayke
sugar.ogg,sugar,0,eha,shugar sugre
sure.ogg,sure,0,rhe,shure surr
there.ogg,there,0,iye,ther therre
they.ogg,they,0,aef,thay theay
today.ogg,today,0,owe,twoday tooday
told.ogg,told,0,elw,tolld toled
was.ogg,was,0,zor,wos waz
water.ogg,water,0,tra,warter watter
were.ogg,were,0,hia,where wer
where.ogg,where,0,hia,were wer
who.ogg,who,0,oue,hoo whoo
whole.ogg,whole,0,eui,hole whol
wild.ogg,wild,0,lyu,wiuld wyld
would.ogg,would,0,ode,wood woud
your.ogg,your,0,eac,yourr ure
accommodate.mp3,accommodate,4,ykiu,acommodate accomodate
accompany.mp3,accompany,4,kieu,acompany accompanie
according.mp3,according,4,kauw,acording accordin
achieve.mp3,achieve,4,estk,atcheeve acheive
aggressive.mp3,aggressive,4,fidy,agressive aggresive
amateur.mp3,amateur,4,rier,amatur amertur
ancient.mp3,ancient,4,iuhy,ainchient anchunt
apparent.mp3,apparent,4,ueir,aparent apparrent
appreciate.mp3,appreciate,4,heyd,apreciate appresheate
attached.mp3,attached,4,asik,atached attachd
available.mp3,available,4,iyul,avaylible availible
average.mp3,average,4,aifj,avrage averige
awkward.mp3,awkward,4,rooe,orkward awkwood
bargain.mp3,bargain,4,erun,bargin barrgain
bruise.mp3,bruise,4,ooew,broose bruse
category.mp3,category,4,eeia,catigory catagory
cemetery.mp3,cemetery,4,irse,cemitery cemetary
committee.mp3,committee,4,uioy,commitee comittee
communicate.mp3,communicate,4,kyte,comunicate communikate
community.mp3,community,4,eeui,comunity communitee
competition.mp3,competition,4,ushu,competishun competitiun
conscience.mp3,conscience,4,uisk,conshunce conscence
conscious.mp3,conscious,4,seeh,conseeus consciouss
controversy.mp3,controversy,4,ueek,controversee contruversy
convenience.mp3,convenience,4,euys,conveenience convenence
correspond.mp3,correspond,4,kusi,corespond corresspond
criticise.mp3,criticise,4,ezke,critisize critecise
curiosity.mp3,curiosity,4,eete,cureosity curiositty
definite.mp3,definite,4,ueft,definute definit
desperate.mp3,desperate,4,iusz,desperite desperute
determined.mp3,determined,4,tuen,determind dettermined
develop.mp3,develop,4,ulef,devellop develup
dictionary.mp3,dictionary,4,eesh,diktionary dictshunary
disastrous.mp3,disastrous,4,sezr,disasterous disastruss
embarrass.mp3,embarrass,4,umei,embarass embaruss
environment.mp3,environment,4,ueyn,envirunment enviromunt
equipment.mp3,equipment,4,kuwe,equipmunt ekwipment
equipped.mp3,equipped,4,kwid,equiped equippd
especially.mp3,especially,4,shue,especialy esspecially
exaggerate.mp3,exaggerate,4,jyir,exagerate exajerate
excellent.mp3,excellent,4,uics,excelent excellunt
existence.mp3,existence,4,siuc,existunce existinse
explanation.mp3,explanation,4,yshe,explanashun explanaytion
familiar.mp3,familiar,4,lmue,fammiliar familliar
foreign.mp3,foreign,4,rfuj,forrin foriegn
forty.mp3,forty,4,reeo,forrty forety
frequently.mp3,frequently,4,ekwi,freequently frequntly
government.mp3,government,4,auib,govament goverment
guarantee.mp3,guarantee,4,iudr,garantee guarantie
harass.mp3,harass,4,riha,harrass haras
hindrance.mp3,hindrance,4,uees,hinderance hindrunce
identity.mp3,identity,4,iyee,eyedentity identitee
immediate.mp3,immediate,4,eayd,emmediate imediate
immediately.mp3,immediately,4,eeul,emmediately imediately
individual.mp3,individual,4,neuv,individueal inndividual
interfere.mp3,interfere,4,neua,innterfere interfeere
interrupt.mp3,interrupt,4,nped,interupt innterupt
language.mp3,language,4,jwiu,languige langwige
leisure.mp3,leisure,4,zere,lezure liesure
lightning.mp3,lightning,4,eeny,litening lightening
marvellous.mp3,marvellous,4,reua,marrvellous marvelous
mischievous.mp3,mischievous,4,iies,misschievous mischeivous
muscle.mp3,muscle,4,sult,musulle musscle
necessary.mp3,necessary,4,scue,nessessary necesary
neighbour.mp3,neighbour,4,eayr,naybour nieghbour
nuisance.mp3,nuisance,4,weuc,newsance nuisanse
occupy.mp3,occupy,4,ieck,ocupy occupie
occur.mp3,occur,4,roke,ocur occurr
opportunity.mp3,opportunity,4,eeui,oportunity oppertunity
parliament.mp3,parliament,4,euri,parlement parliamunt
persuade.mp3,persuade,4,wyre,perrsuade perswayde
physical.mp3,physical,4,eufs,fissical physicul
prejudice.mp3,prejudice,4,ssez,preejudice prejudiss
privilege.mp3,privilege,4,avij,privilige privilage
profession.mp3,profession,4,fshu,profesion proffession
programme.mp3,programme,4,uire,progrumme programe
pronunciation.mp3,pronunciation,4,aoeh,pronounciation pronuncation
queue.mp3,queue,4,kyew,que qeue
recognise.mp3,recognise,4,zcuy,reccognise recognize
recommend.mp3,recommend,4,uaic,reccommend recomend
relevant.mp3,relevant,4,luie,relevent rellevant
restaurant.mp3,restaurant,4,uied,restrant restaurunt
rhyme.mp3,rhyme,4,iemr,rime rhieme
rhythm.mp3,rhythm,4,uive,rithm rhythum
sacrifice.mp3,sacrifice,4,ekzv,sackrifice sacrefice
secretary.mp3,secretary,4,rciy,seccretary secretery
shoulder.mp3,shoulder,4,eurc,sholder shouldur
sincere.mp3,sincere,4,esur,sinsere sinceer
soldier.mp3,soldier,4,ugje,soldger soldiur
signature.mp3,signature,4,gire,signiture siggnature
stomach.mp3,stomach,4,umuk,stommach stumach
sufficient.mp3,sufficient,4,shue,suficient sufficeint
suggest.mp3,suggest,4,hied,sugest shuggest
symbol.mp3,symbol,4,uilo,simbol symbul
system.mp3,system,4,iuts,sistem systum
temperature.mp3,temperature,4,irae,temprature temperiture
thorough.mp3,thorough,4,ogfr,thurough thorugh
twelfth.mp3,twelfth,4,lfei,twelf twellfth
variety.mp3,variety,4,ruet,vareity veriety
vegetable.mp3,vegetable,4,iigu,vegitable vegetible
vehicle.mp3,vehicle,4,uekl,veehicle vehicule
yacht.mp3,yacht,4,gtro,yott yaght
